training,gs://food-nutrition/dataset/train/tofu/tofu-88.jpg,tofu,0.482143,0.316964,1.0,0.316964,1.0,0.982144,0.482143,0.982144
training,gs://food-nutrition/dataset/train/tofu/tofu-88.jpg,tofu,0.473214,0.058035,1.0,0.058035,1.0,0.419643,0.473214,0.419643
training,gs://food-nutrition/dataset/train/tofu/tofu-88.jpg,tofu,0.013393,0.013393,0.526786,0.013393,0.526786,0.366072,0.013393,0.366072
training,gs://food-nutrition/dataset/train/tofu/tofu-88.jpg,tofu,0.013393,0.272321,0.522322,0.272321,0.522322,0.924107,0.013393,0.924107
training,gs://food-nutrition/dataset/train/tofu/tofu-88.jpg,tofu,0.392857,0.245536,0.625,0.245536,0.625,0.473214,0.392857,0.473214
training,gs://food-nutrition/dataset/train/tofu/tofu-101.jpg,tofu,0.138393,0.5625,0.401786,0.5625,0.401786,1.0,0.138393,1.0
training,gs://food-nutrition/dataset/train/tofu/tofu-101.jpg,tofu,0.214286,0.450893,0.486606,0.450893,0.486606,0.982143,0.214286,0.982143
training,gs://food-nutrition/dataset/train/tofu/tofu-101.jpg,tofu,0.214286,0.28125,0.522322,0.28125,0.522322,0.745536,0.214286,0.745536
training,gs://food-nutrition/dataset/train/tofu/tofu-101.jpg,tofu,0.285714,0.080358,0.553572,0.080358,0.553572,0.379464,0.285714,0.379464
training,gs://food-nutrition/dataset/train/tofu/tofu-101.jpg,tofu,0.4375,0.209822,0.790178,0.209822,0.790178,0.683036,0.4375,0.683036
training,gs://food-nutrition/dataset/train/tofu/tofu-101.jpg,tofu,0.450893,0.491071,0.75,0.491071,0.75,0.861607,0.450893,0.861607
training,gs://food-nutrition/dataset/train/tofu/tofu-101.jpg,tofu,0.455357,0.683036,0.808036,0.683036,0.808036,1.0,0.455357,1.0
training,gs://food-nutrition/dataset/train/tofu/tofu-27.jpg,tofu,0.339286,0.379464,0.558036,0.379464,0.558036,0.678572,0.339286,0.678572
training,gs://food-nutrition/dataset/train/tofu/tofu-27.jpg,tofu,0.28125,0.589286,0.513392,0.589286,0.513392,0.924106,0.28125,0.924106
training,gs://food-nutrition/dataset/train/tofu/tofu-27.jpg,tofu,0.482143,0.53125,0.678572,0.53125,0.678572,0.852678,0.482143,0.852678
training,gs://food-nutrition/dataset/train/tofu/tofu-27.jpg,tofu,0.178572,0.450893,0.375,0.450893,0.375,0.808036,0.178572,0.808036
training,gs://food-nutrition/dataset/train/tofu/tofu-27.jpg,tofu,0.294643,0.205356,0.450893,0.205356,0.450893,0.495536,0.294643,0.495536
training,gs://food-nutrition/dataset/train/tofu/tofu-27.jpg,tofu,0.433036,0.191964,0.620536,0.191964,0.620536,0.526786,0.433036,0.526786
training,gs://food-nutrition/dataset/train/tofu/tofu-27.jpg,tofu,0.232143,0.348214,0.419643,0.348214,0.419643,0.46875,0.232143,0.46875
training,gs://food-nutrition/dataset/train/tofu/tofu-63.jpg,tofu,0.40625,0.200893,0.629464,0.200893,0.629464,0.508929,0.40625,0.508929
training,gs://food-nutrition/dataset/train/tofu/tofu-63.jpg,tofu,0.21875,0.357143,0.504464,0.357143,0.504464,0.691964,0.21875,0.691964
training,gs://food-nutrition/dataset/train/tofu/tofu-63.jpg,tofu,0.455357,0.397321,0.71875,0.397321,0.71875,0.799107,0.455357,0.799107
training,gs://food-nutrition/dataset/train/tofu/tofu-63.jpg,tofu,0.705357,0.258928,0.924107,0.258928,0.924107,0.558036,0.705357,0.558036
training,gs://food-nutrition/dataset/train/tofu/tofu-63.jpg,tofu,0.714286,0.071428,0.875,0.071428,0.875,0.330357,0.714286,0.330357
training,gs://food-nutrition/dataset/train/tofu/tofu-63.jpg,tofu,0.772322,0.013393,0.995536,0.013393,0.995536,0.330357,0.772322,0.330357
training,gs://food-nutrition/dataset/train/tofu/tofu-63.jpg,tofu,0.892858,0.28125,1.000001,0.28125,1.000001,0.513392,0.892858,0.513392
training,gs://food-nutrition/dataset/train/tofu/tofu-75.jpg,tofu,0.004464,0.004464,1.0,0.004464,1.0,1.0,0.004464,1.0
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.09375,0.080358,0.334822,0.080358,0.334822,0.285714,0.09375,0.285714
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.401786,0.035714,0.754464,0.035714,0.754464,0.227678,0.401786,0.227678
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.607143,0.102678,0.830357,0.102678,0.830357,0.254464,0.607143,0.254464
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.084822,0.232143,0.415178,0.232143,0.415178,0.450893,0.084822,0.450893
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.339286,0.254465,0.566964,0.254465,0.566964,0.482144,0.339286,0.482144
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.549107,0.25,0.888393,0.25,0.888393,0.397322,0.549107,0.397322
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.102678,0.392856,0.316964,0.392856,0.316964,0.589286,0.102678,0.589286
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.111607,0.464286,0.473214,0.464286,0.473214,0.674106,0.111607,0.674106
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.089286,0.575893,0.464286,0.575893,0.464286,0.767857,0.089286,0.767857
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.495536,0.366072,0.888392,0.366072,0.888392,0.513393,0.495536,0.513393
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.544642,0.477678,1.0,0.477678,1.0,0.674108,0.544642,0.674108
training,gs://food-nutrition/dataset/train/tofu/tofu-98.jpg,tofu,0.46875,0.558036,0.808036,0.558036,0.808036,0.763392,0.46875,0.763392
